"Area Code","Area Name","Population figures&#10; (mid-2016)3  rounded to 100","Household figures&#10; (mid-2016)4  rounded to 100 ","Total recorded crime (excluding fraud)","Violence against the person","Homicide","Violence with injury","Violence without injury","Stalking&#10;and harassment","Death or serious injury - unlawful driving","Sexual offences","Robbery","Theft offences","Burglary","Domestic burglary","Domestic burglary (households)","Non-domestic burglary","Vehicle offences","Theft from the person","Bicycle theft","Shoplifting","All other theft offences","Criminal damage and arson","Drug offences","Possession of weapons offences","Public order offences","Miscellaneous crimes against society","Region"
"E23000013","Cleveland","564600","242400","97.9924728802303","24.4055789240646","0.00531326101394731","9.78702678769094","10.3112685410671","4.28603055125083","0.0159397830418419","2.856763338499","0.761567411999114","44.6065972990923","9.74274961257472","6.77440779278282","15.7778153603736","2.9683418197919","7.48992694266106","0.871374806287359","1.78879787469559","13.5311047155191","11.1826433473544","16.8997121983617","2.26699136595085","0.557892406464468","4.11777728580917","1.51959264998893","North East"
"E23000008","Durham","628100","277000","96.3870575367416","33.142653354625","0.00318419112788826","9.10519453019648","12.0394266545455","11.9789270231156","0.0159209556394413","3.13324406984205","0.369366170835038","30.3405651620833","7.96525410641248","4.9354962482268","11.1933157851028","3.02975785818568","5.55163723147318","0.464891904671686","0.827889693250948","6.79028758022172","8.74060464605327","16.1740988341084","1.76244978928615","0.391655508730256","8.40148829093318","2.67153635629825","North East"
"E23000007","Northumbria","1443900","641800","103.211458720749","28.8400337705638","0.0124665739984666","8.57146221139015","11.8259306124343","8.41701521129804","0.0131591614428259","3.00790727085225","0.545066318710735","36.4314847481856","6.72917960939453","3.9283559844057","8.83782314069933","2.80082362498883","5.47213339788248","1.02918494231785","1.57632902336167","10.045980880431","11.578676894798","16.0043106642537","1.86998609976999","0.705054018357723","13.350315577469","2.45730025258664","North East"
"E23000006","Cheshire","1049300","453500","78.569073273192","23.113372076401","0.00285903254150839","8.98689228880803","8.64952644891004","5.46647021936404","0.0076240867773557","2.12997924342375","0.353567024299871","23.8795927975252","4.66784712943603","2.97339384316872","6.87914098931749","1.6944532862673","3.69768208701751","0.541310161192255","1.3294501318014","7.1685475924087","6.47475569566933","9.6806841855474","2.20145505696146","0.392640469033819","15.3549107695944","1.46287165040513","North West"
"E23000002","Cumbria","498800","224400","54.222894066276","16.9930211530635","0.00601451904898425","7.39585359056763","7.57428432235416","1.98278644648181","0.0340822746109107","2.43988989420461","0.168406533371559","18.1558281692005","4.01168420567249","2.13314942270641","4.74195561101702","1.87853478296608","2.25544464336909","0.324784028645149","0.555340592189546","5.68372050129011","5.32485419803405","10.4351905499877","1.55575559400393","0.394953417549966","3.0172837229071","1.06256503198722","North West"
"E23000005","Greater Manchester","2780800","1178300","120.642509971793","32.9058372206424","0.0284086414052712","9.89807410987456","15.9336517977995","7.03311656461132","0.0125861069517024","3.28353550217128","2.32627216773037","44.6932657854953","11.8467630690539","8.22627950363271","19.4148554706761","3.62048356542115","11.0937542702863","2.32411454939579","1.64338596483657","6.41495891175485","11.370289020168","14.863473103849","1.69804562931254","0.929573899147165","17.2293016077133","2.71320505573128","North West"
"E23000003","Lancashire","1483900","632600","81.0128697864965","24.963894914827","0.0114565832560014","11.2840605904993","8.95837418953098","4.70056871827116","0.00943483326964821","2.6457968154742","0.639546912349725","33.9674215207199","8.99948310592016","5.36842013042983","12.5929134430853","3.63106297549032","6.71760128798953","0.998070576596357","1.1402669923032","6.29370770751747","9.8182918503932","12.8448515799639","1.33974632429005","0.341675747693689","3.07238606259473","1.1975499085832","North West"
"E23000004","Merseyside","1411200","622000","86.5709294868388","23.1299892641134","0.016298705670178","9.55458471960912","7.52362426522955","6.02697790108103","0.00850367252357112","2.25276457936938","0.997764242765678","34.3683011433896","8.89625873840932","6.72498768739083","15.2575536144646","2.17127105101849","8.21242173963881","1.28547182981317","1.37263447317977","6.73916047493011","7.86235388741846","12.8249554442992","4.65788662478608","0.58391884661855","6.10563687192406","1.6497124695728","North West"
"E23000012","Humberside","928500","405500","92.105971734265","26.2516774836991","0.00969332474576563","10.7768230451257","11.4392002360863","3.9947268313383","0.0312340464030226","2.6785887380799","0.920865850847735","39.2385785708593","9.90550085408962","6.37928471879665","14.6059740727315","3.52621613529296","7.14182626546355","0.677455696120731","2.4060986091156","10.1586043335624","8.9490928125074","13.8625314225277","1.39906987163884","0.479281056873967","5.09976585235559","2.17561288738295","Yorkshire and the Humber"
"E23000009","North Yorkshire","816500","352000","47.1279600420352","12.6987548655289","0.00734881647310701","5.86802995377594","5.20663647119631","1.60204199113733","0.014697632946214","1.89354504457057","0.202092453010443","20.3341751810871","4.57708786000015","2.55248892165917","5.92097599504502","2.02459893834098","2.75580617741513","0.487471492716098","1.46118967540278","5.68063513371172","5.37198484184122","7.21898738208212","1.82985530180364","0.285379039705655","1.7306462794167","0.934524494830108","Yorkshire and the Humber"
"E23000011","South Yorkshire","1385400","585800","104.647495006904","27.7938780710156","0.00938348348109914","10.0179513257058","9.253558325207","8.48916532470823","0.0238196119135593","2.95724090938947","1.20325130484556","44.5773209865939","11.4716694588545","7.63021568297685","18.0465478358995","3.84145377587766","10.207064608171","1.45371813314874","1.04517569851012","8.91070027493607","11.4889928129735","14.8540543505799","1.55549283859759","0.883491060066565","8.45740584215682","2.36535964365861","Yorkshire and the Humber"
