"Area Code","Area Name","Population figures
 (mid-2017)3  rounded to 100","Household figures
 (mid-2017)4  rounded to 100 ","Total recorded crime (excluding fraud)","Violence against the person","Homicide","Violence with injury","Violence without injury","Stalking
and harassment","Death or serious injury - unlawful driving","Sexual offences","Robbery","Theft offences","Burglary","Domestic burglary","Domestic burglary (households)","Non-domestic burglary","Vehicle offences","Theft from the person","Bicycle theft","Shoplifting","All other theft offences","Criminal damage and arson","Drug offences","Possession of weapons offences","Public order offences","Miscellaneous crimes against society","Region"
"E23000013","Cleveland","566200","241400","115.51179016161794","35.518855427006983","2.649474520886691E-2","10.347081162236156","13.201448379404752","11.929700609379141","1.4130530778062351E-2","3.099885189437428","1.0262297977567783","47.158880155435838","9.9743884129647622","7.2260001766316346","16.944940334425439","2.7483882363331271","7.6534487326680214","0.90082133710147483","1.7539521328269891","15.661927051134859","11.214342488739733","16.550384173805526","2.2926786187406161","0.66590126291618823","6.7755895080808974","2.4233860284376934","North East"
"E23000008","Durham","630000","278200","99.035093149462952","37.948664225431699","7.9363945594428005E-3","9.1078063964165583","13.229969730591149","15.582317078009996","2.0634625854551284E-2","2.9920207489099364","0.3841214966770316","29.107520686212418","6.5157799333025403","4.6332671438027075","10.493847132796239","1.8825127894998326","5.1665928581972631","0.45237448988823969","0.75237020423517764","7.7173500696021806","8.5030531309870181","15.21406837045185","2.0142569391865828","0.46031088444768248","8.1602008860190889","2.7539289121266521","North East"
"E23000007","Northumbria","1448600","637000","110.65548873093979","33.069900757161555","7.593706336188567E-3","9.2173788182536125","13.79431272815636","10.025073037648214","2.5542466767179726E-2","3.4185485251641623","0.59023808340374762","35.879572101551325","6.3559322033898313","4.198629266972624","9.5476708518180136","2.1573029364172065","5.8029723147273717","0.98096879124763214","1.3993129766776569","9.720634447261018","11.619751368247814","15.699642681600036","2.3084867262013247","0.96094901999768045","16.154574724831697","2.5735761110282707","North East"
"E23000006","Cheshire","1054100","455500","89.363655940295843","30.925947534035146","1.8024325249897784E-2","10.046189705074607","12.229979006404326","8.6279599025168583","3.7945947894521648E-3","3.0309325880749167","0.39463785810302515","23.998914745890218","4.3998326583697853","3.2064325970870793","7.420710368357037","1.1934000612827058","3.4644650427698265","0.60239192282553111","1.496018995741516","6.7202273721197843","7.3159787540637744","9.6401680626032231","2.06805416025143","0.50468110699713786","17.052908983798027","1.7474109005427221","North West"
"E23000002","Cumbria","498400","224200","70.974667669927257","26.574366691748182","8.0260847755204406E-3","9.7516930022573369","10.979683972911964","5.8249310258339602","1.0032605969400551E-2","3.1963882618510158","0.24680210684725354","19.822422874341608","4.2197140707298715","2.435916729370454","5.4136974572567631","1.7837973413594181","2.3556558816152493","0.39528467519438171","0.59393027338851268","5.8169049410584401","6.4409330323551544","10.951592676197643","2.0506646601454728","0.50564334085778784","6.1881113619262607","1.4386756960120393","North West"
"E23000005","Greater Manchester","2798800","1169100","119.68562229727821","34.742044712750001","2.7869096708981245E-2","10.211880167171705","16.306994535870565","8.1838674374258389","1.1433475572915382E-2","3.4500512541272168","2.7304568852568547","43.834873458222617","10.774621543026134","7.8172816268692396","18.714251622389355","2.9573399161568945","11.315210559958039","2.6264837167656556","1.4509795094252929","6.1998021294133663","11.467775999634128","12.798704015543811","1.77969193214661","1.2655428274770715","16.132276737271951","2.9519804744820903","North West"
"E23000003","Lancashire11","1490500","630600","109.23805951974408","41.780023710212099","1.408926015953068E-2","13.36466963704053","15.457931146456518","12.939979080803248","3.3545857522692094E-3","3.4424758989786626","0.73599611404786458","35.463338738689174","8.8748920662034205","5.7450635593362485","13.578915653097795","3.1298285068671725","6.7615030422738185","1.3418343009076839","1.1392173214706236","6.3576109177006064","10.988281090133023","13.578021290884852","1.5712879663628976","0.47031292246814316","10.02216039347949","2.1744424846209016","North West"
"E23000004","Merseyside","1416800","621900","94.693416618142678","30.880313376740247","1.4821872849505055E-2","10.162158347008276","12.113704938859774","8.5762179521112341","1.3410265911456956E-2","2.2501014592486719","1.0318846717131616","31.605173539427948","7.8224198471935482","5.9922714520141867","13.652129587493429","1.8301483951793622","7.3276516154076896","1.5146542445256119","1.3339685564554549","6.1016709897129138","7.5048082861327261","11.524359042224692","5.7741781800857552","0.72909498350184387","8.9559402184461732","1.9423711467541862","North West"
"E23000012","Humberside","929900","402900","105.72735074538583","35.217356703310415","1.8282440038973863E-2","11.80722995222906","13.915087744957811","9.4541723754481879","2.2584190636379474E-2","3.4145145366907061","1.0464008328189156","38.60821161171539","8.9702254332400564","6.4354188937187988","14.853352925991381","2.534806539521258","6.2321611779913839","0.75495722984468527","2.4154329604432521","11.137232296683136","9.0982025135128737","13.77528085054213","1.4776513302088286","0.54739776351986447","9.0282990663050331","2.6122380502745592","Yorkshire and the Humber"
"E23000009","North Yorkshire","819800","353200","53.381572976691764","16.746849216146455","6.0990783072862034E-3","6.6711718525096488","6.6821501934627632","3.3435147280542963","4.3913363812460658E-2","2.2615382363417238","0.25738110456747776","20.835671313351128","4.6438382231677151","2.8067958370131105","6.5149069905716477","1.8370423861546044","3.0007465271848117","0.5891709644838472","1.4357230335351721","5.4257400621618066","5.7404525028177744","7.3103552591132432","1.9065718788576671","0.37692303939028737","2.6957926118205018","0.99049031710327928","Yorkshire and the Humber"
