,,,Inequality measures using Income (BHC),,,,,,,,Inequality measures using Income (AHC),,,,,,
,,,,,,,,,,,,,,,,,
Source,Year,Country,Gini coefficient,Mean log deviation*,Theil Index*,Half the squared coefficient of variation,90/10 ratio,50/10 ratio,90/50 ratio,,Gini coefficient,Mean log deviation*,Theil Index*,Half the squared coefficient of variation,90/10 ratio,50/10 ratio,90/50 ratio
FRS,2002-03,UK,0.342,0.201,0.238,0.472,4.027,1.997,2.017,,0.375,0.238,0.275,0.582,4.733,2.284,2.072
FRS,2003-04,UK,0.338,0.196,0.228,0.447,3.979,1.991,1.999,,0.374,0.234,0.266,0.562,4.820,2.324,2.074
FRS,2004-05,UK,0.339,0.196,0.229,0.437,3.958,1.968,2.011,,0.376,0.235,0.270,0.568,4.740,2.264,2.093
FRS,2005-06,UK,0.344,0.203,0.238,0.466,4.020,1.990,2.020,,0.384,0.243,0.280,0.602,4.923,2.336,2.107
FRS,2006-07,UK,0.350,0.212,0.247,0.479,4.133,2.039,2.027,,0.391,0.258,0.293,0.615,5.133,2.429,2.113
FRS,2007-08,UK,0.357,0.217,0.258,0.510,4.195,2.047,2.050,,0.400,0.264,0.307,0.666,5.228,2.452,2.132
FRS,2008-09,UK,0.355,0.217,0.258,0.521,4.173,2.021,2.064,,0.402,0.269,0.310,0.692,5.348,2.466,2.168
FRS,2009-10,UK,0.356,0.219,0.260,0.509,4.062,1.972,2.060,,0.403,0.271,0.311,0.644,5.346,2.451,2.181
FRS,2010-11,UK,0.336,0.195,0.221,0.384,3.883,1.932,2.010,,0.382,0.242,0.267,0.493,5.034,2.368,2.126
FRS,2011-12,UK,0.339,0.196,0.230,0.417,3.872,1.917,2.020,,0.385,0.250,0.278,0.529,5.058,2.369,2.135
FRS,2012-13,UK,0.335,0.194,0.216,0.356,3.891,1.937,2.009,,0.381,0.243,0.262,0.451,5.123,2.386,2.147
FRS,2013-14,UK,0.342,0.202,0.240,0.445,3.814,1.899,2.009,,0.390,0.259,0.293,0.568,5.087,2.375,2.142
FRS,2014-15,UK,0.339,0.197,0.233,0.444,3.881,1.942,1.998,,0.386,0.252,0.284,0.575,5.099,2.403,2.122
FRS,2015-16,UK,0.345,0.207,0.249,0.498,3.871,1.972,1.963,,0.394,0.262,0.302,0.636,5.154,2.439,2.113
FRS,2016-17,UK,0.335,0.192,0.227,0.445,3.866,1.986,1.947,,0.384,0.251,0.280,0.586,5.050,2.443,2.067
FRS,2017-18,UK,0.340,0.199,0.233,0.448,3.968,2.018,1.966,,0.385,0.250,0.279,0.554,5.161,2.469,2.090
FRS,2018-19,UK,0.349,0.206,0.243,0.457,4.038,2.006,2.013,,0.394,0.260,0.292,0.583,5.331,2.538,2.101
FRS,2019-20,UK,0.350,0.219,0.253,0.490,4.060,2.074,1.957,,0.391,0.262,0.296,0.598,5.158,2.493,2.069
