"Area Code","Area Name","Population &#10;figures&#10;       (mid-2015)3 - rounded to 100","Household figures       (mid-2015)4- rounded to 100 ","Total recorded crime (excluding fraud)","Violence against the person","Homicide","Violence with injury","Violence without injury","Sexual offences","Robbery","Theft offences","Burglary","Domestic burglary","Domestic burglary (households)","Non-domestic burglary","Vehicle offences","Theft from the person","Bicycle theft","Shoplifting","All other theft offences","Criminal damage and arson","Drug offences","Possession of weapons offences","Public order offences","Miscellaneous crimes against society","Region"
"E23000013","Cleveland","562100","241100","90.2149160261885","22.1605465414176","0.0160119555935098","9.23178195274694","12.9127526330771","2.46939937375463","0.640478223740393","41.173854255622","9.7833048676345","4.42819527469399","10.3247162673392","5.35510959294051","6.55600626245374","0.745445488186735","1.6865926558497","12.2687161969826","10.1337887845147","15.8963136920011","2.544121833191","0.489254198690578","3.49594363791631","1.34500426985483","North East"
"E23000008","Durham","625100","275200","68.9395345265596","21.0291736790575","0.00959870993338495","7.28702062442808","13.7325543446961","1.98373338623289","0.262364738179189","25.7997325159499","6.89667308713709","2.52446071248024","5.73484518098561","4.37221237465685","4.45060183911282","0.364750977468628","0.875082388926928","6.20396618694447","7.00865803635991","12.9470599151474","1.67657466836457","0.295960222946036","3.59951622501936","1.34541917566279","North East"
"E23000007","Northumbria","1437500","637400","82.2633303117937","21.8970028320847","0.00904374878692023","8.47190559439343","13.4160534889044","2.30476459469744","0.49044945344452","31.1021477512023","5.8972198820556","2.30476459469744","5.19784931728218","3.59245528735816","4.6185729381818","0.740196054560241","1.37464981561188","8.60825749918085","9.86325156161193","14.2612961639896","2.05571366656533","0.645584528789383","7.75257972934147","1.75379159167892","North East"
"E23000006","Cheshire","1043500","450600","57.5526193734356","16.0694640892661","0.00574970389024965","7.50815499668434","8.55555938869148","1.52750466684299","0.261611527006359","21.2461141584542","4.42727199549223","1.91752624739826","4.44110048738914","2.50974574809397","3.26199867373497","0.640133699781128","1.24385260825734","5.92986127881081","5.74299590237769","8.28915644177658","2.13601499522775","0.325816553780814","6.86035502504954","0.836581916031324","North West"
"E23000002","Cumbria","498000","223800","51.3558341834071","14.7892754158668","0.00803219302966289","6.78921115832256","7.99203206451457","1.93375047189134","0.154619715821011","18.2893035285424","4.19481280974144","1.54418910995269","3.43647218647219","2.65062369978875","2.35142450943381","0.327311865958763","0.608438621996964","5.59040634864537","5.21690937276605","10.2089173407015","1.84740439682246","0.29116699732528","3.01809653089583","0.823299785540446","North West"
"E23000005","Greater Manchester","2756200","1167100","88.9893264619424","21.6478566934745","0.0188668155210035","7.94075239409004","13.6882374838634","2.32533501296368","1.51224782868351","39.8147859233238","10.5382049386067","6.1197418729378","14.4516272753366","4.41846306566885","8.80100661717272","2.36814817126134","1.64939506458619","6.25398652183725","10.2040446098597","13.1835501686766","1.5017259507968","0.583057164274088","6.8058408758266","1.61492684392282","North West"
"E23000003","Lancashire","1478100","629200","70.5750229177026","19.9307902294476","0.00676537346552873","10.1324998393224","9.79152501665973","2.08508810207595","0.474929217280117","31.5388180216018","8.23954834366744","3.65803743281138","8.59296035191884","4.58151091085606","6.73492928493385","0.844995145844539","1.2015303274779","5.59834654272502","8.91946837695308","11.976064108679","1.43019995061277","0.244229982105587","1.96601752908265","0.928885776817095","North West"
"E23000004","Merseyside","1398000","617500","76.434697395621","19.9509309528408","0.0114446757222663","9.17648405255967","10.7630022245588","1.7810776592777","0.806134346187135","31.6116249293649","7.85462400663791","4.85611896740413","10.9942607659222","2.99850503923378","6.54778509760163","1.2932483566161","1.3569093653212","6.7895538722345","7.76950423095356","11.9339356093932","4.12365972117909","0.482822257033111","4.41836012102745","1.32615179931761","North West"
"E23000012","Humberside","925100","403200","80.1388003070038","21.7324094392857","0.0108099927573049","9.82304041856292","11.8985590279655","2.42468137546348","0.781562476353141","35.0989654836931","10.1311252121461","3.946728355692","9.05490232064424","6.18439685645411","6.19304485065995","0.657247559644135","2.06795161447242","8.08155058536111","7.96804566140941","12.9049693536705","1.44853902947885","0.393483736365897","3.77917346795378","1.57501594473932","Yorkshire and the Humber"
"E23000009","North Yorkshire","809100","349700","45.3324731533629","11.7014137354428","0.00741534457252392","5.72835368227473","5.9656447085955","1.65609362119701","0.169317034405963","20.0350251441976","4.50111415552202","1.72035994082555","3.98105566614044","2.78075421469647","2.78075421469647","0.606822364184874","1.74137008378103","5.02389594788496","5.38106837812819","7.12120257114714","1.93169726114248","0.254593496989988","1.67833965491458","0.784790633925449","Yorkshire and the Humber"
"E23000011","South Yorkshire9","1374700","581200","81.2320182154795","17.8706657306742","0.0807475330173753","8.89459537120223","8.89532282645464","2.40278469870622","0.93477999934529","39.4695396299435","9.67151758077481","4.95688008991347","11.7246446386507","4.71463749086134","9.3558020012294","1.24249357111421","0.894042505210398","8.60579563599594","9.69988833561876","13.095649453863","1.7306160454805","0.705631594836523","3.52306578741575","1.49928527521451","Yorkshire and the Humber"
"E23000010","West Yorkshire","2281700","948600","100.621549201084","27.3486907672201","0.016654117642934","9.5002975827863","17.8317390667909","2.49373498390248","1.01283331244264","44.0584682243818","11.3217321334188","6.01695739789054","14.4731363030198","5.30477473552823","10.6503082326563","1.88936581996548","1.11757894709162","7.5123218557245","11.5671612355252","13.7216781390163","2.2027261914049","0.618831950311125","6.90839095804127","2.25619467436379","Yorkshire and the Humber"
